"Gads","Mēnesis","Iebraucot LR vai Izbraucot LR","Nosūtītāja valsts","Galamērķa valsts","Transporta veids","Muitas punkta kods","Muitas punkta nosaukums","Kopsumma euro","Deklarāciju skaits"
"2018","janvāris","Iebraucot LR","Apvienotie Arābu Emirāti","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","35000.00","1"
"2018","janvāris","Iebraucot LR","Azerbaidžāna","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","58000.00","1"
"2018","janvāris","Iebraucot LR","Baltkrievija","Latvija","Autoceļu transports","'0814'","SILENES MKP","8000.00","1"
"2018","janvāris","Iebraucot LR","Izraēla","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","46103.82","2"
"2018","janvāris","Iebraucot LR","Krievijas Federācija","Beļģija","Gaisa transports","'0240'","LIDOSTAS MKP","21591.65","1"
"2018","janvāris","Iebraucot LR","Krievijas Federācija","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","1600184.79","23"
"2018","janvāris","Iebraucot LR","Krievijas Federācija","Norvēģija","Autoceļu transports","'0731'","PĀTERNIEKU MKP","8500.00","1"
"2018","janvāris","Iebraucot LR","Šveice","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","1817218.98","2"
"2018","janvāris","Iebraucot LR","Turcija","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","58000.00","1"
"2018","janvāris","Iebraucot LR","Ukraina","Latvija","Gaisa transports","'0240'","LIDOSTAS MKP","855388.92","13"
"2018","janvāris","Iebraucot LR","Ukraina","Lietuva","Autoceļu transports","'0722'","TEREHOVAS MKP","12440.00","1"
"2018","janvāris","Izbraucot no LR","Latvija","Amerikas Savienotās Valstis","Gaisa transports","'0240'","LIDOSTAS MKP","41705.66","2"
"2018","janvāris","Izbraucot no LR","Latvija","Baltkrievija","Gaisa transports","'0240'","LIDOSTAS MKP","18522.72","1"
"2018","janvāris","Izbraucot no LR","Latvija","Gruzija","Gaisa transports","'0240'","LIDOSTAS MKP","22093.10","1"
"2018","janvāris","Izbraucot no LR","Latvija","Hongkonga","Gaisa transports","'0240'","LIDOSTAS MKP","46514.58","1"
"2018","janvāris","Izbraucot no LR","Latvija","Izraēla","Gaisa transports","'0240'","LIDOSTAS MKP","56829.94","1"
